,Ne,N_generations,Mu,Rho,dsel,tractlen,sellen,RbyU,logRbyU,theta,S,c,dmin,dmax,seff,leff,scor
rspecies41,5000,20000,4.097e-06,1.281e-05,-0.001266,1392,68,3.12667805711496,1.13997111734391,0.04097,12.66,0.0156419723062695,-0.00223,0.03492,6.64,44,0.332220089639386
rspecies42,5000,20000,2.12e-06,1.46e-06,-0.000582,827,78,0.688679245283019,-0.372979652963676,0.0212,5.82,0.0131636740735627,0.00437,0.01455,1.74,53,0.172524137408463
rspecies43,5000,20000,1.973e-06,9.88e-06,-0.000702,785,67,5.00760263558033,1.6109572847193,0.01973,7.02,0.0169838866183213,0.00206,0.01785,3.12,41,0.195640105393065
rspecies44,5000,20000,2.789e-06,1.87e-05,-0.00052,1590,66,6.70491215489423,1.90284041521519,0.02789,5.2,0.0160678398311201,0.00709,0.02391,1.75,43,0.180369738373382
rspecies45,5000,20000,1.765e-06,9.986e-07,-0.000576,1500,71,0.565779036827195,-0.569551671300888,0.01765,5.76,0.0135254010901518,0.00381,0.01375,1.85,51,0.242615893948404
rspecies46,5000,20000,3.026e-06,3.808e-06,-0.001197,1492,17,1.25842696629213,0.229862501562955,0.03026,11.97,NA,NA,NA,NA,NA,0.0895576161356227
rspecies47,5000,20000,1.633e-06,2.856e-06,-0.000551,1225,47,1.74892835272505,0.55900323048901,0.01633,5.51,0.0213555675268359,0.003,0.01501,2.32,32,0.159505077601527
rspecies48,5000,20000,4.004e-06,1.014e-05,-0.001281,956,69,2.53246753246753,0.929194136710063,0.04004,12.81,0.0168509589018925,-0.00277,0.03303,6.64,41,0.329747530469502
rspecies49,5000,20000,5.103e-06,1.074e-05,-7e-04,1118,51,2.10464432686655,0.744146486998884,0.05103,7,0.0209328160906939,0.0058,0.04174,2.85,33,0.209170222729316
rspecies50,5000,20000,2.495e-06,3.834e-06,-0.000736,1209,42,1.53667334669339,0.429619915419971,0.02495,7.36,NA,NA,NA,NA,NA,0.183461905715395
rspecies51,5000,20000,1.412e-06,1.338e-05,-0.001084,1426,80,9.47592067988669,2.24875391562903,0.01412,10.84,0.0150171106707978,-0.00106,0.01257,6.64,46,0.291945667313061
rspecies52,5000,20000,2.204e-06,1.197e-05,-0.000587,682,51,5.43103448275862,1.69212962827921,0.02204,5.87,0.0208051180875178,0.00465,0.01961,2.08,33,0.144102971992492
rspecies53,5000,20000,9.03e-07,2.859e-06,-0.000757,1155,56,3.16611295681063,1.15250463890533,0.00903,7.57,0.0188693075873785,0.00063,0.00842,3.74,37,0.169619908600835
rspecies54,5000,20000,3.182e-06,9.711e-06,-0.000697,1759,49,3.05185417976116,1.11574933369662,0.03182,6.97,0.0215694449322832,0.00363,0.02797,2.94,32,0.175446391092611
rspecies55,5000,20000,3.399e-06,5.594e-06,-0.000857,925,70,1.64577817005001,0.498213324065789,0.03399,8.57,0.0156410867981757,0.00169,0.02808,4.05,44,0.293988784128619
rspecies56,5000,20000,3.906e-06,1.938e-05,-0.001348,708,65,4.9615975422427,1.60172777400813,0.03906,13.48,0.0177438961135025,-0.00302,0.03329,6.64,39,0.343915381378678
rspecies57,5000,20000,1.183e-06,2.027e-06,-0.001054,1533,97,1.7134404057481,0.538503282473613,0.01183,10.54,0.0111470704503478,-0.00063,0.0103,6.64,62,0.25632200151769
rspecies58,5000,20000,2.914e-06,1.5e-05,-0.000992,1395,74,5.14756348661634,1.6385234933292,0.02914,9.92,0.0153930101879023,-0.00141,0.0254,6.64,45,0.342012711975413
rspecies59,5000,20000,5.596e-07,1.331e-06,-0.000562,1167,76,2.37848463187991,0.866463575603786,0.005596,5.62,0.0118531576386551,0.00093,0.00526,2.5,58,0.0909462411013353
rspecies60,5000,20000,1.937e-06,7.274e-06,-0.000754,1207,61,3.75529168817759,1.32316596213994,0.01937,7.54,0.0185643879376594,9e-04,0.01746,4.27,37,0.156907665131596
rspecies61,5000,20000,1.717e-07,8.916e-07,-0.000893,1443,42,5.19277810133955,1.64726883360828,0.001717,8.93,NA,NA,NA,NA,NA,0.105600670138545
rspecies62,5000,20000,1.12e-06,7.656e-07,-0.000607,1117,33,0.683571428571428,-0.380424124150396,0.0112,6.07,NA,NA,NA,NA,NA,0.0849499962940795
rspecies63,5000,20000,2.715e-06,3.899e-06,-0.000635,1713,46,1.43609576427256,0.361928156614562,0.02715,6.35,0.0230406159490796,0.00348,0.02389,2.78,30,0.162873279163196
rspecies64,5000,20000,1.208e-06,2.926e-06,-0.000807,679,83,2.42218543046358,0.884670203085309,0.01208,8.07,0.0149830189402493,0.00046,0.00995,4.44,46,0.223363389203155
rspecies65,5000,20000,2.702e-06,2.984e-06,-0.000658,1020,53,1.10436713545522,0.0992724428035072,0.02702,6.58,0.0185840192648414,0.00351,0.02214,2.66,37,0.180199014760065
rspecies66,5000,20000,1.978e-06,3.889e-06,-0.00052,998,68,1.96612740141557,0.67606582197309,0.01978,5.2,0.0156533741481773,0.004,0.01747,2.13,44,0.194161409856872
rspecies67,5000,20000,2.77e-06,3.983e-06,-0.001946,1471,37,1.43790613718412,0.36318798400026,0.0277,19.46,0.0269424339933975,-0.00239,0.02357,6.64,26,0.189302767174674
rspecies68,5000,20000,1.172e-06,1.679e-05,-0.000582,985,68,14.3259385665529,2.66207177993463,0.01172,5.82,0.0171587989809015,0.00137,0.01072,2.97,40,0.197979710589741
rspecies69,5000,20000,1.688e-06,2.049e-06,-0.000734,1118,65,1.21386255924171,0.193807473082997,0.01688,7.34,0.0150902188625367,0.00105,0.01433,3.77,46,0.195491962710218
rspecies70,5000,20000,1.561e-06,5.746e-06,-0.000767,1058,59,3.68097373478539,1.3031773190238,0.01561,7.67,0.0190503077247549,0.00042,0.01491,5.14,36,0.170712399316584
